,-13.47,-13.11,P
wed 11 sep,-1121.54,-1146.99,S
url http b,-1346.08,-1373.53,S
est ce que,-15577.85,-15849.56,S
cfp litera,-998.3,-1153.27,S
attent u h,-494.37,-447.76,P
look cheap,-454.54,-455.86,S
confid bac,-669.55,-635.32,P
care use t,-495.16,-508.15,S
e l e c r ,-2475.39,-2487.55,S
call csdl ,-3242.53,-3762.16,S
cl school ,-4508.84,-4952.14,S
fw liquid ,-278.06,-306.16,S
231 165 re,-339.64,-317.78,P
say wa nec,-1867.68,-2003.76,S
onc upon t,-1271.27,-1415.33,S
§ ¦ ¨ § · ,-3917.79,-3152.8,P
veri impor,-2725.16,-2648.33,P
aiml 98 fi,-3163.13,-3430.31,S
fri jul 19,-387.05,-437.56,S
multimedia,-5742.44,-6308.2,S
competit a,-1414.16,-1459.92,S
put german,-413.73,-437.19,S
seem get k,-2289.01,-2456.52,S
webmin fre,-127.02,-129.44,S
tue 24 sep,-394.91,-401.0,S
summari sp,-953.4,-1139.48,S
date wed 1,-957.6,-1028.36,S
fyi messag,-1432.25,-1574.7,S
humberto h,-456.59,-512.05,S
new book s,-812.87,-931.2,S
2002 0384 ,-6099.38,-7576.19,S
url http b,-1561.19,-1621.35,S
adv merri ,-4235.68,-4054.15,P
onli 5 day,-397.97,-383.04,P
fw heavi l,-972.6,-1034.11,S
bulk maili,-638.49,-597.84,P
empti ,-22.49,-21.22,P
like 250 g,-164.4,-159.8,P
power ga c,-772.66,-826.28,S
safeti bul,-2640.31,-2662.19,S
make 314 h,-602.45,-584.63,P
discount r,-1166.72,-1243.22,S
legal advi,-1661.09,-1633.62,P
januari no,-1372.24,-1541.45,S
schedul cr,-1308.14,-1548.61,S
creamfield,-2467.85,-2467.45,P
antipass r,-3677.25,-3966.89,S
readi get ,-341.99,-290.78,P
tremend sa,-1254.46,-1078.91,P
ultim wa b,-551.04,-551.51,S
top qualit,-434.2,-385.97,P
thank thi ,-1935.22,-2181.61,S
everi onc ,-1126.87,-1193.16,S
save 70 pe,-1952.71,-1709.75,P
sun 21 jul,-5162.18,-5526.99,S
fw donni v,-652.27,-675.67,S
biliana re,-1382.25,-1548.59,S
offic xp 6,-481.24,-476.44,P
mon aug 19,-790.16,-842.86,S
start date,-276.91,-327.2,S
viicodin o,-295.95,-264.55,P
welcom www,-2426.3,-2380.4,P
cuba novem,-1849.84,-1956.43,S
mail deliv,-1910.82,-1777.83,P
tenaska iv,-191.04,-206.48,S
half pr ce,-1039.98,-991.63,P
enron hpl ,-150.52,-191.95,S
greatli im,-787.15,-758.69,P
equiti adj,-158.37,-174.55,S
easi shop ,-64.1,-59.01,P
move high ,-398.36,-383.71,P
well tri x,-1570.26,-1743.69,S
enron hpl ,-138.08,-173.09,S
window eve,-28768.61,-23964.38,P
speaker ce,-1481.52,-1778.91,S
smart move,-672.36,-647.05,P
home deliv,-380.46,-340.06,P
genuin log,-664.65,-636.22,P
250 toy r ,-91.99,-85.03,P
today head,-4303.62,-4503.16,S
danq think,-1301.88,-1350.69,S
wind mate ,-80.39,-76.37,P
somebodi r,-2325.03,-2446.71,S
dr ben kok,-2769.37,-2676.37,P
new book p,-2987.62,-3215.77,S
fw califor,-1061.85,-1200.21,S
becom ling,-843.9,-935.22,S
begin pgp ,-1010.36,-1053.76,S
pro opticu,-838.07,-993.29,S
texmex obl,-307.05,-328.35,S
digit disp,-6299.54,-6365.43,S
cnet shopp,-2928.71,-2994.61,S
repli soon,-2914.72,-2800.79,P
top bodi s,-3669.85,-3509.96,P
human sens,-701.3,-741.76,S
beat marke,-8529.85,-7870.14,P
latest mar,-1081.33,-1134.55,S
number 1 i,-558.44,-565.58,S
account ha,-573.56,-558.62,P
ravi thura,-355.53,-366.76,S
luca gonz ,-756.91,-764.41,S
etc event ,-105.8,-105.55,P
eim resour,-1863.46,-2100.99,S
market mil,-1302.21,-1211.59,P
thu 1 aug ,-843.85,-927.02,S
electr mot,-666.64,-634.91,P
think inte,-374.74,-370.35,P
creat onli,-204.78,-193.6,P
buy regali,-593.88,-527.36,P
fw amend i,-1752.95,-2054.78,S
start date,-277.17,-328.86,S
regard cab,-3215.93,-3081.73,P
seen nbc c,-999.96,-911.91,P
open enrol,-2138.33,-2212.09,S
opm hour s,-3549.2,-4405.72,S
ã¿ffffa9 c,-154.72,-146.85,P
sorri gang,-342.56,-356.62,S
new love t,-385.18,-335.37,P
empti ,-22.49,-21.22,P
fw 6 thi a,-427.93,-423.1,P
calibal fa,-1838.16,-1748.44,P
vitro bria,-346.83,-361.91,S
conf alt i,-9886.91,-10833.42,S
syntax mar,-1924.72,-2188.66,S
conform he,-427.01,-409.56,P
lballi dep,-252.22,-231.36,P
save money,-174.54,-170.52,P
forward wi,-1477.18,-1492.24,S
market ser,-355.66,-333.52,P
eskimo sno,-1044.03,-1161.8,S
martin ada,-932.48,-949.96,S
urgent ass,-2272.06,-2181.01,P
await urge,-2798.19,-2686.82,P
program qu,-2570.97,-3030.02,S
help want ,-673.11,-623.16,P
receiv e c,-929.42,-903.75,P
learn tech,-336.53,-355.55,S
philip haw,-1164.1,-1325.18,S
rde r 2 4 ,-484.6,-416.02,P
url http w,-241.23,-259.34,S
confidenti,-1258.59,-1324.58,S
depend muc,-1101.23,-1142.09,S
fw western,-8867.96,-9472.55,S
cilco path,-1176.62,-1258.27,S
follow eri,-1200.02,-1361.92,S
chapter ch,-714.54,-784.63,S
featur sto,-3957.43,-3667.46,P
transcript,-4406.16,-4963.58,S
empti ,-22.49,-21.22,P
extra holi,-11131.65,-10574.27,P
industri r,-1453.9,-1761.99,S
adam l beb,-6061.48,-6130.33,S
nasdaq wat,-596.95,-548.58,P
canadian g,-1863.73,-1734.37,P
meet go pa,-734.1,-706.27,P
doctor onl,-1044.53,-914.43,P
woww 8 aba,-269.42,-239.6,P
origin mes,-147.05,-155.67,S
ppi index ,-1032.28,-1199.44,S
http www b,-270.64,-278.82,S
cimca 99 f,-5575.91,-6095.26,S
foreign la,-1831.84,-1940.55,S
hey v amer,-3750.48,-3493.67,P
barney u n,-8366.5,-8041.82,P
januari 25,-133.2,-147.61,S
hiya rpm u,-683.01,-750.46,S
fwd califo,-2733.63,-2963.11,S
converg di,-2914.86,-3237.67,S
local soft,-711.74,-636.09,P
tue 13 aug,-638.87,-701.75,S
clear bene,-1054.09,-970.98,P
rea somebo,-517.84,-539.51,S
book seman,-2347.67,-2640.05,S
perfect lo,-538.55,-459.16,P
seen nbc c,-999.96,-911.91,P
god ha don,-1928.71,-1806.29,P
updat ammo,-5244.5,-5341.63,S
fortun lit,-468.6,-440.18,P
leonard r ,-1166.36,-1212.63,S
monday sep,-363.65,-389.82,S
iraq antis,-2136.01,-2274.54,S
continent ,-463.87,-498.33,S
thi jolliv,-525.58,-466.81,P
success ad,-1050.35,-1022.57,P
gay gay se,-2761.67,-2786.24,S
search wes,-1001.92,-1045.88,S
7500 00 pl,-442.33,-417.54,P
gl 1995 in,-729.39,-810.89,S
claim mone,-394.44,-352.09,P
mr fork th,-239.48,-240.57,S
url http w,-283.43,-303.73,S
seen aroun,-2665.71,-2563.36,P
multipl ge,-1995.48,-2024.53,S
associ ana,-1168.23,-1294.01,S
jame roger,-907.14,-968.58,S
meet dure ,-1172.63,-1279.94,S
guarante i,-935.69,-910.71,P
increas sp,-477.47,-436.7,P
increas pr,-1043.47,-1159.96,S
ld 98 seco,-2640.06,-2935.74,S
thank mome,-1022.92,-1002.53,P
nt 4 get p,-1487.13,-1607.67,S
mon 22 jul,-791.26,-796.08,S
ub note fe,-2420.3,-2718.11,S
qu ote sha,-1034.84,-1024.21,P
lexicograp,-1911.46,-2082.57,S
becaus wan,-384.39,-376.44,P
medzz hell,-634.04,-584.05,P
euralex 98,-495.0,-534.79,S
receiv ema,-1726.33,-1627.17,P
ok wa also,-1756.11,-1881.2,S
excel news,-688.6,-620.71,P
bandwidth ,-2134.85,-2909.29,S
doesnt lik,-134.12,-122.68,P
ferc prosp,-4165.06,-4416.74,S
fw v e 80 ,-858.25,-746.2,P
9 8 02 8 0,-1068.2,-1138.38,S
season fac,-790.92,-844.22,S
pick chemi,-1303.36,-1214.0,P
full versi,-4064.51,-3800.37,P
resourc af,-578.58,-631.36,S
fw red roc,-384.46,-432.96,S
pharmaci d,-804.57,-699.93,P
http www h,-623.94,-665.02,S
rh 8 box t,-800.62,-901.28,S
help plz a,-2389.41,-2316.75,P
stop spam ,-907.65,-853.85,P
download d,-5352.09,-5393.39,S
regist dom,-950.62,-891.79,P
new www se,-378.37,-437.08,S
24 jul 200,-443.34,-469.17,S
key hr iss,-1098.8,-1278.44,S
12 35 0400,-738.97,-800.48,S
logic cour,-1315.9,-1452.9,S
ub contrac,-624.89,-670.98,S
â dear hom,-786.49,-718.76,P
flag spam ,-1604.48,-1698.66,S
aim rolex ,-400.43,-358.29,P
fw timelin,-1039.16,-1205.22,S
paliourg p,-3130.44,-2531.75,P
q chess ga,-505.39,-537.7,S
special re,-3374.17,-3265.33,P
request ur,-3975.73,-3842.3,P
url http w,-166.32,-178.29,S
woman real,-233.14,-212.85,P
urgentt ra,-1224.93,-1170.43,P
tree macro,-769.23,-856.47,S
spamd spam,-1060.26,-1141.67,S
url http j,-335.85,-353.66,S
tri httrac,-331.37,-356.11,S
intern sum,-6915.24,-7533.4,S
done nero ,-1029.46,-898.8,P
begin forw,-2450.59,-2542.15,S
empti ,-22.49,-21.22,P
empti ,-22.49,-21.22,P
fw csfb in,-4174.96,-4453.34,S
8th seal k,-8833.97,-9547.48,S
question s,-845.55,-887.12,S
6 389 sum ,-428.67,-462.63,S
5 talk med,-425.0,-402.97,P
littl tidb,-8237.28,-8617.13,S
revis copa,-339.38,-401.21,S
brand new ,-2592.14,-2460.51,P
nick hilli,-1090.11,-1167.54,S
thank take,-790.59,-826.29,S
hion wed 4,-1395.98,-1421.85,S
accord son,-933.11,-1019.41,S
qs syllabu,-350.42,-382.86,S
clarif whi,-1675.1,-1737.83,S
remov jere,-519.19,-546.5,S
sinc never,-260.73,-275.97,S
impress gi,-704.36,-641.16,P
order abaz,-289.14,-253.1,P
return mai,-402.66,-402.67,S
trade coun,-1113.46,-1258.79,S
rolex show,-840.67,-817.36,P
congratul ,-2120.43,-1992.49,P
septemb pr,-549.88,-659.48,S
request su,-371.98,-399.31,S
fuel per m,-1817.65,-2231.67,S
gurt 1995 ,-13413.45,-14984.84,S
forward vi,-673.38,-769.14,S
decid last,-2975.12,-3308.93,S
urgent upd,-584.63,-584.49,P
ah thi car,-236.13,-256.09,S
daili ft d,-501.41,-537.07,S
wed 2002 0,-2295.51,-2394.44,S
messag 200,-416.02,-465.97,S
wealth opp,-1898.19,-1827.09,P
welcom pjm,-674.07,-724.6,S
cornhusk c,-1450.21,-1496.21,S
polar bear,-484.79,-451.93,P
lone hous ,-218.09,-213.17,P
ha cum eve,-689.56,-625.26,P
john p loo,-967.87,-1039.57,S
accommod l,-172.56,-186.9,S
new new ne,-7311.34,-6959.71,P
wed 2 oct ,-1242.66,-1355.6,S
genet clas,-3922.96,-4254.19,S
start date,-275.69,-323.07,S
free x box,-48.55,-44.43,P
adob photo,-1205.54,-1060.73,P
attent hon,-3289.87,-3177.26,P
empti ,-22.49,-21.22,P
histori sy,-599.86,-643.7,S
central po,-1206.66,-1485.75,S
use perl d,-1607.97,-1784.95,S
fw meritoc,-1568.95,-1667.48,S
creativ po,-503.96,-433.3,P
perfect lo,-532.38,-452.16,P
shenandoah,-2303.4,-2647.4,S
final fina,-669.61,-772.85,S
breathtak ,-442.8,-396.62,P
invit whar,-1235.44,-1322.42,S
2005 docto,-1561.15,-1453.22,P
compani pl,-410.33,-455.9,S
ourr new g,-708.47,-639.67,P
real optio,-1591.07,-1765.12,S
home serv ,-424.03,-407.8,P
dear owner,-1170.33,-1167.94,P
paliourg g,-3117.15,-2518.12,P
super viag,-343.29,-304.87,P
nomin expr,-4007.79,-4518.35,S
hope like ,-1106.11,-984.31,P
free forei,-1026.71,-968.1,P
259 529 he,-562.78,-542.06,P
buy cheap ,-380.25,-333.17,P
karthik ra,-1959.17,-2315.65,S
local soft,-693.97,-629.1,P
name bryan,-194.47,-208.78,S
2000 year ,-659.61,-627.3,P
supersav p,-2429.62,-2279.18,P
enrononlin,-1804.18,-2016.97,S
empti ,-22.49,-21.22,P
pre crip t,-404.85,-340.67,P
good news ,-1124.19,-1199.12,S
igtt vol 6,-7571.31,-7388.29,P
use perl d,-1158.95,-1269.98,S
meet event,-1768.86,-1827.3,S
visual num,-3334.78,-3613.22,S
fwd dialog,-703.98,-695.2,P
answer thi,-2595.47,-2829.07,S
telephon i,-832.12,-966.87,S
spamassass,-3731.12,-3780.51,S
contrast g,-803.66,-881.53,S
personnel ,-6208.94,-6052.98,P
produc ser,-569.37,-680.85,S
protect fi,-871.35,-810.34,P
hottest ca,-42.81,-38.94,P
http www h,-691.33,-726.01,S
fu ck daug,-199.25,-190.34,P
workshop h,-395.84,-450.32,S
tp tim pet,-395.43,-425.45,S
empti ,-22.49,-21.22,P
swap monit,-960.42,-1015.59,S
thi messag,-785.85,-747.7,P
superior p,-323.35,-285.48,P
hello vinc,-3303.21,-3807.55,S
fw mike cu,-336.14,-382.62,S
low cost t,-638.1,-570.35,P
lab equip ,-449.16,-460.29,S
afford fam,-718.99,-679.97,P
u n v e r ,-599.75,-581.36,P
know compa,-1047.77,-957.25,P
guido ther,-260.58,-284.61,S
empti ,-22.49,-21.22,P
insead hig,-1661.51,-1828.5,S
best onlin,-284.99,-261.16,P
your sinse,-2217.11,-2138.3,P
price defa,-1562.3,-1720.85,S
word order,-422.81,-455.8,S
2 nd rev m,-1521.98,-1833.99,S
bitbitch m,-389.57,-409.56,S
offic star,-651.63,-684.26,S
best price,-2140.05,-1942.12,P
fw el paso,-306.91,-357.31,S
request su,-390.64,-420.57,S
op 12 09 2,-1236.54,-1256.5,S
solocdm wr,-648.34,-711.56,S
el paso so,-4059.0,-4217.74,S
url http w,-239.86,-259.73,S
wednesday ,-4722.69,-4878.96,S
forward ne,-1435.07,-1427.04,P
anarchist ,-1473.31,-1529.46,S
adv adob s,-1502.64,-1403.76,P
account 23,-363.18,-344.64,P
tue 27 aug,-715.18,-748.58,S
learn fast,-140.71,-126.58,P
ga messag ,-4534.04,-5901.14,S
redupl chi,-1589.95,-1794.12,S
free steal,-6080.39,-5720.66,P
act reach ,-1299.93,-1237.65,P
wast money,-1001.27,-984.84,P
workshop h,-1001.62,-1094.87,S
lost cell ,-1146.47,-1325.36,S
ilug pleas,-2737.89,-2649.53,P
harlan fei,-708.48,-790.04,S
repli shi ,-80.39,-76.01,P
help desig,-360.02,-401.23,S
communion ,-3405.09,-3253.81,P
guest fina,-468.97,-516.34,S
6 185 ipa ,-220.54,-232.78,S
invit spea,-1027.9,-1126.5,S
money get ,-174.38,-169.3,P
settlement,-182.17,-189.82,S
truer word,-1365.36,-1423.66,S
bad credit,-223.52,-214.9,P
start date,-763.15,-883.8,S
fw candl l,-2961.84,-2994.56,S
20 asian g,-290.34,-273.47,P
best onlin,-309.93,-285.08,P
accept cre,-1716.9,-1619.79,P
congratul ,-102.5,-105.64,S
debt 4 000,-665.46,-629.83,P
confirmden,-2957.51,-2864.32,P
regard ano,-789.98,-830.75,S
revis 2 en,-431.7,-537.57,S
mon 9 sep ,-324.35,-341.23,S
utf 8 q co,-492.2,-450.2,P
industri r,-2093.66,-2513.26,S
organ anno,-2356.16,-2555.47,S
earn 20 ti,-1064.9,-1031.04,P
jess keat ,-701.38,-796.38,S
research s,-1992.21,-2198.69,S
energi op ,-315.33,-330.62,S
use async ,-1071.08,-1146.37,S
ye think o,-396.16,-422.84,S
tim prefer,-2106.35,-2206.52,S
big pig si,-1839.07,-2153.52,S
dispatch w,-1211.46,-1318.7,S
kevin wrot,-925.98,-980.04,S
â â â â be,-1071.77,-953.24,P
whatcha ca,-757.24,-784.55,S
get money ,-3418.1,-3232.99,P
enpow pers,-5943.84,-6517.38,S
mother nat,-412.71,-383.04,P
link text ,-2929.78,-2727.49,P
better bal,-687.14,-678.62,P
today toda,-2427.55,-2353.69,P
hot penni ,-7128.19,-6393.54,P
fast act v,-474.39,-415.16,P
updat reim,-1494.79,-1545.08,S
investig a,-4455.14,-4076.42,P
r robert h,-572.53,-611.54,S
ucla lab s,-882.76,-844.71,P
rotat lean,-363.33,-388.52,S
call book ,-1600.11,-1722.63,S
pick razor,-547.55,-582.23,S
todd hall ,-534.74,-567.26,S
jill chatt,-242.53,-253.57,S
script goo,-383.9,-368.58,P
cheney dur,-2884.16,-3005.83,S
8th intern,-1133.01,-1300.21,S
origin mes,-372.03,-400.0,S
1 16 0400 ,-729.71,-766.49,S
url http w,-257.57,-278.12,S
cal berkel,-2863.83,-3022.87,S
eugen leit,-249.36,-262.79,S
win one ch,-984.42,-978.34,P
fax direct,-3310.67,-3189.64,P
get high l,-728.72,-660.97,P
saturday s,-1171.85,-1197.28,S
job tesol ,-944.28,-1019.05,S
isa pnp ca,-856.9,-884.92,S
better deg,-1914.1,-1834.38,P
empti ,-22.49,-21.22,P
one bizarr,-6160.14,-6378.81,S
lose weigh,-971.75,-920.72,P
enron onsi,-872.97,-927.26,S
pari hilto,-456.93,-445.97,P
tue 2002 0,-864.88,-914.05,S
new book t,-5480.85,-5852.2,S
question w,-2293.93,-2467.1,S
tuesday de,-66.73,-73.44,S
inform cha,-816.14,-781.95,P
associ ana,-1168.23,-1294.01,S
hello hot ,-604.97,-552.87,P
pay good 9,-1043.79,-1070.6,S
fri 2002 0,-738.14,-774.91,S
astound re,-503.38,-494.05,P
ee citi at,-136.9,-152.13,S
iso compli,-2736.79,-2960.61,S
url http b,-965.08,-1003.04,S
ashfield o,-964.36,-942.19,P
macintosh ,-2510.72,-2536.02,S
prc contin,-356.23,-399.43,S
back wall ,-869.87,-818.03,P
ambllen al,-1340.27,-1321.49,P
fw capit b,-485.47,-550.06,S
url http d,-454.73,-487.06,S
pend appro,-2281.36,-2625.72,S
job c lisp,-2030.32,-2188.05,S
welcom via,-721.9,-651.4,P
learn styl,-997.76,-1039.92,S
london vis,-244.92,-252.49,S
ahhhh dave,-873.47,-908.43,S
origin mes,-1015.19,-1033.24,S
lst class ,-589.52,-552.27,P
function s,-2920.0,-3176.81,S
utmost con,-2114.83,-2067.79,P
sorri meet,-2849.96,-2707.79,P
govt reg a,-199.76,-221.24,S
fri 2002 0,-1019.51,-1134.62,S
entex tran,-2505.57,-2837.14,S
greater ho,-2425.98,-2637.36,S
begin pgp ,-1856.55,-1947.3,S
jone news ,-4774.85,-5166.61,S
empti ,-22.49,-21.22,P
fwd v codi,-921.94,-819.61,P
aaa 96 ann,-1445.72,-1502.31,S
attent hom,-912.77,-833.74,P
cinergi cl,-417.36,-467.44,S
correct 4 ,-519.76,-565.97,S
med pill p,-1551.82,-1455.18,P
akamai kev,-283.29,-302.21,S
new power ,-1559.07,-1566.05,S
hello fork,-388.65,-409.75,S
network en,-903.28,-981.39,S
account 88,-399.63,-388.1,P
summari ad,-5015.81,-5135.61,S
lanc lanc ,-741.16,-836.69,S
utf 8 q sc,-294.93,-279.29,P
like 250 g,-164.4,-159.8,P
book histo,-1815.1,-2050.51,S
new book c,-2879.94,-3320.72,S
sun jul 21,-1361.81,-1411.17,S
queri dear,-3137.87,-3378.8,S
fw real es,-2350.57,-2438.09,S
conf ind a,-9357.62,-9465.14,S
microcap j,-5031.64,-4742.47,P
wrong vm l,-1773.17,-1847.89,S
profession,-419.36,-378.51,P
fw absenc ,-1989.67,-2167.41,S
xm new sys,-1313.89,-1313.2,P
bare age r,-63.68,-57.48,P
job japan ,-1553.51,-1681.53,S
uh guy see,-528.13,-582.69,S
80 medicca,-318.31,-284.88,P
get busi i,-6390.11,-6044.6,P
mail deliv,-1786.17,-1685.63,P
congratul ,-605.88,-538.37,P
clickpap c,-1438.22,-1518.66,S
shop hundr,-724.01,-621.06,P
ilug socia,-2653.67,-2587.98,P
approv res,-1247.34,-1392.65,S
free web s,-13906.82,-13308.15,P
revis fort,-155.54,-176.4,S
cera confe,-1531.76,-1656.36,S
mon 19 aug,-471.67,-506.64,S
dear homeo,-636.85,-588.33,P
e eugen le,-1122.37,-1176.8,S
panenergi ,-1049.1,-1174.8,S
inform apt,-200.61,-226.56,S
enron mana,-1703.82,-1853.66,S
found win2,-1393.54,-1511.85,S
aig highst,-528.05,-598.37,S
fw screen ,-435.58,-470.78,S
personnel ,-239.06,-252.02,S
look thi r,-1172.76,-1167.02,P
pleas gran,-278.61,-271.25,P
wholesal c,-382.6,-356.52,P
paul winne,-1212.76,-1144.78,P
coswl surv,-1130.05,-1226.84,S
new seri s,-1968.75,-2209.32,S
wa server ,-1726.08,-1856.95,S
buyback de,-510.9,-560.87,S
meter 0980,-157.77,-163.67,S
zimbabw ha,-588.73,-610.73,S
found mist,-282.96,-316.77,S
09 02 9 29,-535.21,-563.25,S
registr we,-1430.5,-1382.64,P
logitech b,-1921.9,-1719.86,P
fw ecoelec,-964.5,-1063.57,S
natur lang,-6790.66,-7012.4,S
correspond,-526.37,-523.11,P
8 1208 sum,-2633.83,-2842.46,S
fw enron m,-21439.9,-22808.2,S
enron euro,-499.79,-555.66,S
sun 29 sep,-1013.11,-1103.9,S
1 4 extra ,-914.59,-890.06,P
fix bad cr,-195.84,-179.9,P
empti ,-22.49,-21.22,P
integr mee,-1375.74,-1536.24,S
mail deliv,-1891.85,-1789.46,P
chomski ci,-357.38,-388.69,S
greg case ,-897.84,-969.16,S
email hosp,-1421.04,-1337.88,P
stock move,-468.58,-472.02,S
sat 27 jul,-432.66,-451.54,S
milfhunt h,-420.05,-370.0,P
think thi ,-2909.46,-3077.8,S
aztec popu,-362.42,-389.79,S
chheep med,-686.81,-618.54,P
condom suc,-643.13,-620.74,P
semit synt,-1937.96,-2183.21,S
empti ,-22.49,-21.22,P
mon 2002 1,-1423.38,-1501.3,S
focu group,-675.68,-743.63,S
indulg dea,-2020.25,-1900.87,P
xth confer,-2866.81,-3071.77,S
begin forw,-3221.95,-3429.15,S
guy look h,-1035.42,-1105.65,S
summari la,-2326.9,-2503.93,S
url http w,-530.09,-543.09,S
fw md prc ,-907.04,-1042.42,S
residu val,-379.95,-403.64,S
begin pgp ,-1105.33,-1161.14,S
texmex ris,-119.77,-129.57,S
usb charse,-2429.21,-2235.66,P
open felix,-818.42,-754.89,P
mtbe plant,-316.34,-331.75,S
recent sur,-428.57,-402.63,P
monday aug,-1710.85,-1794.53,S
sum risk c,-4927.76,-5185.07,S
helsinki r,-1365.02,-1583.48,S
struggl ms,-1026.05,-1004.03,P
big unit w,-948.7,-913.15,P
meter 9863,-188.16,-204.48,S
michael wr,-1533.58,-1604.93,S
fellowship,-363.99,-407.66,S
propos pro,-788.88,-845.59,S
compar syn,-1679.15,-1876.56,S
alp presen,-2598.51,-3216.33,S
mon 22 jul,-939.13,-1042.26,S
logo stati,-1046.94,-968.44,P
buyback de,-900.04,-1066.84,S
enron with,-336.18,-361.99,S
bad credit,-394.31,-382.37,P
get micros,-2189.71,-2006.99,P
idea thi a,-4886.31,-4952.31,S
portugues ,-1173.79,-1324.47,S
url http w,-245.12,-264.09,S
associ ana,-3274.86,-4245.08,S
italian cr,-650.26,-580.19,P
found scho,-28.99,-30.23,S
request he,-484.75,-520.76,S
interest 8,-875.05,-794.13,P
empti ,-22.49,-21.22,P
pay much h,-905.79,-868.27,P
expect loo,-247.78,-253.68,S
new multid,-668.58,-704.96,S
low prce m,-879.84,-848.61,P
iso 8859 1,-987.08,-959.8,P
draft pres,-281.25,-315.39,S
onlin phar,-233.83,-216.17,P
lowest rat,-413.92,-370.14,P
grade pam ,-249.51,-274.03,S
empti ,-22.49,-21.22,P
meter 9841,-2439.38,-2852.65,S
headcount ,-281.76,-295.86,S
make unlim,-778.16,-743.65,P
wa spring ,-7579.42,-7310.84,P
mobil scan,-2383.62,-2352.75,P
hpl nomin ,-502.74,-560.44,S
languag re,-830.91,-894.59,S
digest thu,-14350.17,-14791.81,S
neon discu,-239.77,-249.86,S
wish knew ,-55.7,-54.93,P
meet duke ,-406.16,-468.08,S
wed 28 aug,-640.31,-675.6,S
esourc pre,-1001.33,-1055.17,S
ebay accou,-1434.14,-1370.03,P
summer sch,-350.1,-382.76,S
empti ,-22.49,-21.22,P
cheap onli,-466.23,-421.71,P
url http w,-200.82,-209.42,S
wire week ,-890.18,-989.97,S
recommend ,-1082.58,-1229.32,S
send real ,-745.01,-751.2,S
new york e,-1340.83,-1428.64,S
organiz ch,-2928.05,-3381.8,S
money avai,-591.58,-540.08,P
john p loo,-1003.81,-1127.47,S
newslett c,-19692.37,-18698.15,P
fyi umich ,-1024.13,-1126.64,S
costco dim,-1310.7,-1230.17,P
perfect lo,-541.32,-462.46,P
ad pop rea,-3209.74,-3040.17,P
linguist d,-706.47,-766.35,S
sum word p,-8258.78,-8484.44,S
request vi,-1004.39,-1102.01,S
weekli dea,-202.01,-233.55,S
contact co,-1661.36,-1761.91,S
investor c,-5202.57,-4922.99,P
support ex,-1086.91,-1271.66,S
8 43 pm 07,-998.03,-1067.7,S
think keep,-790.96,-804.56,S
best softw,-390.28,-388.48,P
isidro bli,-514.31,-492.9,P
luck becau,-1087.72,-1119.5,S
mon 26 aug,-395.51,-420.59,S
fw cgt pop,-469.35,-530.16,S
l lui vill,-651.83,-691.73,S
afford hea,-420.22,-386.72,P
ten thousa,-442.53,-418.37,P
