,-14.49,-13.51,P
e l e c r ,-2505.11,-2471.68,P
call csdl ,-3106.06,-3770.93,S
cl school ,-4376.3,-4967.2,S
fw liquid ,-284.36,-306.57,S
231 165 re,-341.12,-316.4,P
say wa nec,-1865.77,-2007.99,S
onc upon t,-1301.28,-1429.46,S
§ ¦ ¨ § · ,-4147.23,-3006.15,P
veri impor,-2656.37,-2612.05,P
aiml 98 fi,-3044.65,-3456.59,S
fri jul 19,-404.01,-437.06,S
multimedia,-5584.93,-6316.82,S
competit a,-1438.5,-1464.67,S
put german,-419.66,-438.79,S
seem get k,-2329.32,-2462.46,S
webmin fre,-124.78,-128.1,S
tue 24 sep,-398.48,-402.71,S
summari sp,-972.77,-1135.24,S
date wed 1,-966.71,-1030.86,S
fyi messag,-1461.56,-1576.98,S
humberto h,-469.23,-518.27,S
new book s,-783.07,-933.18,S
2002 0384 ,-6250.95,-7693.11,S
url http b,-1561.98,-1628.66,S
adv merri ,-4233.82,-3989.24,P
onli 5 day,-397.69,-382.71,P
fw heavi l,-988.22,-1039.25,S
bulk maili,-624.06,-592.65,P
empti ,-23.89,-21.65,P
like 250 g,-167.09,-159.04,P
power ga c,-775.95,-828.66,S
safeti bul,-2651.89,-2658.4,S
make 314 h,-601.2,-583.89,P
discount r,-1169.75,-1243.45,S
legal advi,-1664.32,-1629.07,P
januari no,-1399.58,-1549.17,S
schedul cr,-1365.45,-1556.85,S
creamfield,-2519.17,-2436.14,P
antipass r,-3513.06,-3994.54,S
readi get ,-348.25,-292.4,P
tremend sa,-1307.9,-1080.51,P
ultim wa b,-556.48,-552.42,P
top qualit,-443.4,-384.27,P
thank thi ,-1983.92,-2190.26,S
everi onc ,-1145.01,-1194.17,S
save 70 pe,-1970.57,-1700.4,P
sun 21 jul,-5218.73,-5536.78,S
fw donni v,-656.83,-676.3,S
biliana re,-1409.55,-1555.11,S
offic xp 6,-494.94,-471.14,P
mon aug 19,-804.67,-844.28,S
start date,-287.57,-328.7,S
viicodin o,-302.34,-263.43,P
welcom www,-2442.81,-2350.62,P
cuba novem,-1807.63,-1947.47,S
mail deliv,-1940.63,-1771.05,P
tenaska iv,-194.73,-208.2,S
half pr ce,-1050.46,-983.15,P
enron hpl ,-156.59,-191.55,S
greatli im,-791.98,-758.95,P
equiti adj,-162.11,-174.78,S
easi shop ,-65.56,-59.35,P
move high ,-401.97,-382.99,P
well tri x,-1609.32,-1752.01,S
enron hpl ,-144.02,-172.79,S
window eve,-28972.59,-23490.05,P
speaker ce,-1515.73,-1775.14,S
smart move,-682.31,-644.0,P
home deliv,-389.33,-339.79,P
genuin log,-667.43,-633.45,P
250 toy r ,-91.56,-85.53,P
today head,-4369.41,-4531.74,S
danq think,-1323.98,-1352.51,S
wind mate ,-83.48,-76.33,P
somebodi r,-2358.16,-2448.76,S
dr ben kok,-2776.88,-2649.49,P
new book p,-2900.88,-3229.0,S
fw califor,-1082.81,-1213.47,S
becom ling,-820.23,-937.11,S
begin pgp ,-1026.13,-1062.93,S
pro opticu,-858.58,-994.19,S
texmex obl,-311.59,-329.07,S
digit disp,-6361.45,-6384.36,S
cnet shopp,-2968.6,-2994.95,S
repli soon,-2918.06,-2773.28,P
top bodi s,-3892.32,-3445.04,P
human sens,-685.75,-747.17,S
beat marke,-8688.02,-7784.13,P
latest mar,-1091.41,-1131.85,S
number 1 i,-570.13,-565.92,P
account ha,-575.79,-554.57,P
ravi thura,-357.7,-368.37,S
luca gonz ,-763.28,-763.29,S
etc event ,-105.63,-107.23,S
eim resour,-1906.21,-2094.81,S
market mil,-1277.32,-1208.64,P
thu 1 aug ,-859.42,-928.45,S
electr mot,-658.53,-629.42,P
think inte,-383.52,-367.34,P
creat onli,-205.59,-192.97,P
buy regali,-612.36,-528.28,P
fw amend i,-1801.66,-2055.43,S
start date,-288.15,-330.63,S
regard cab,-3130.54,-3057.42,P
seen nbc c,-1005.59,-899.64,P
open enrol,-2151.29,-2209.82,S
opm hour s,-3655.86,-4410.38,S
ã¿ffffa9 c,-160.81,-146.05,P
sorri gang,-347.33,-357.64,S
new love t,-396.96,-337.02,P
empti ,-23.89,-21.65,P
fw 6 thi a,-430.75,-422.27,P
calibal fa,-1861.65,-1730.95,P
vitro bria,-351.01,-363.06,S
conf alt i,-9486.51,-10928.25,S
syntax mar,-1854.78,-2199.35,S
conform he,-424.12,-408.19,P
lballi dep,-259.25,-230.62,P
save money,-175.17,-169.45,P
forward wi,-1487.63,-1493.35,S
market ser,-356.51,-331.51,P
eskimo sno,-1017.58,-1165.98,S
martin ada,-937.59,-949.28,S
urgent ass,-2276.09,-2156.68,P
await urge,-2806.57,-2662.32,P
program qu,-2588.83,-3029.01,S
help want ,-677.1,-619.6,P
receiv e c,-938.16,-898.66,P
learn tech,-345.67,-354.94,S
philip haw,-1190.37,-1324.24,S
rde r 2 4 ,-488.17,-415.39,P
url http w,-248.71,-260.3,S
confidenti,-1272.9,-1322.87,S
depend muc,-1117.54,-1144.43,S
fw western,-9009.69,-9496.91,S
cilco path,-1192.96,-1270.7,S
follow eri,-1221.75,-1369.73,S
chapter ch,-722.25,-784.04,S
featur sto,-4047.29,-3656.73,P
transcript,-4249.81,-4984.64,S
empti ,-23.89,-21.65,P
extra holi,-10801.74,-10492.4,P
industri r,-1492.46,-1757.23,S
adam l beb,-6103.6,-6153.94,S
nasdaq wat,-598.66,-545.59,P
canadian g,-1911.04,-1719.19,P
meet go pa,-757.44,-697.86,P
doctor onl,-1035.96,-911.06,P
woww 8 aba,-276.61,-239.22,P
origin mes,-149.12,-154.89,S
ppi index ,-1058.52,-1207.97,S
http www b,-271.62,-280.19,S
cimca 99 f,-5359.81,-6126.85,S
foreign la,-1801.82,-1949.73,S
hey v amer,-3708.65,-3485.04,P
barney u n,-8645.82,-7944.95,P
januari 25,-137.91,-148.76,S
hiya rpm u,-695.29,-757.14,S
fwd califo,-2784.99,-2969.81,S
converg di,-2808.0,-3241.6,S
local soft,-715.5,-633.97,P
tue 13 aug,-658.9,-702.96,S
clear bene,-1065.06,-966.31,P
rea somebo,-506.81,-543.79,S
book seman,-2265.11,-2638.57,S
perfect lo,-551.33,-459.82,P
seen nbc c,-1005.59,-899.64,P
god ha don,-1915.06,-1797.96,P
updat ammo,-5291.77,-5342.76,S
fortun lit,-470.88,-438.43,P
leonard r ,-1180.79,-1219.45,S
monday sep,-373.35,-393.01,S
iraq antis,-2159.44,-2276.31,S
continent ,-472.47,-500.06,S
thi jolliv,-537.1,-464.33,P
success ad,-1063.11,-1019.16,P
gay gay se,-2783.3,-2804.38,S
search wes,-978.13,-1049.57,S
7500 00 pl,-441.28,-418.32,P
gl 1995 in,-685.01,-818.36,S
claim mone,-398.39,-349.89,P
mr fork th,-243.15,-239.86,P
url http w,-291.22,-305.64,S
seen aroun,-2760.55,-2526.32,P
multipl ge,-2004.09,-2031.3,S
associ ana,-1180.39,-1297.6,S
jame roger,-914.85,-972.66,S
meet dure ,-1173.97,-1283.15,S
guarante i,-946.41,-909.41,P
increas sp,-478.87,-433.58,P
increas pr,-1069.53,-1163.29,S
ld 98 seco,-2553.01,-2950.97,S
thank mome,-1025.5,-996.46,P
nt 4 get p,-1522.69,-1611.79,S
mon 22 jul,-801.18,-798.93,P
ub note fe,-2453.5,-2711.05,S
qu ote sha,-1028.26,-1019.87,P
lexicograp,-1849.35,-2089.59,S
becaus wan,-386.75,-373.86,P
medzz hell,-653.35,-580.06,P
euralex 98,-481.69,-539.83,S
receiv ema,-1731.13,-1617.83,P
ok wa also,-1787.57,-1884.62,S
excel news,-708.65,-622.25,P
bandwidth ,-2229.22,-2893.07,S
doesnt lik,-137.38,-122.31,P
ferc prosp,-4228.47,-4416.82,S
fw v e 80 ,-870.85,-745.82,P
9 8 02 8 0,-1073.43,-1137.93,S
season fac,-805.3,-841.04,S
pick chemi,-1323.69,-1208.21,P
full versi,-4094.25,-3781.5,P
resourc af,-560.54,-634.87,S
fw red roc,-396.39,-435.99,S
pharmaci d,-797.67,-696.5,P
http www h,-640.38,-664.32,S
rh 8 box t,-817.72,-914.04,S
help plz a,-2438.9,-2291.55,P
stop spam ,-931.19,-839.26,P
download d,-5391.1,-5417.39,S
regist dom,-942.88,-883.41,P
new www se,-367.13,-438.47,S
24 jul 200,-450.36,-470.05,S
key hr iss,-1123.98,-1274.49,S
12 35 0400,-751.05,-802.84,S
logic cour,-1271.52,-1452.33,S
ub contrac,-628.37,-671.54,S
â dear hom,-793.2,-720.53,P
flag spam ,-1633.85,-1699.28,S
aim rolex ,-407.78,-355.99,P
fw timelin,-1067.28,-1204.77,S
paliourg p,-3180.28,-2536.7,P
q chess ga,-493.89,-538.65,S
special re,-3342.88,-3260.64,P
request ur,-4000.59,-3820.72,P
url http w,-170.88,-180.13,S
woman real,-232.5,-212.35,P
urgentt ra,-1226.93,-1159.92,P
tree macro,-755.48,-861.94,S
spamd spam,-1080.45,-1151.46,S
url http j,-339.7,-356.75,S
tri httrac,-342.3,-356.68,S
intern sum,-6649.37,-7558.18,S
done nero ,-1041.67,-893.92,P
begin forw,-2431.34,-2551.38,S
empti ,-23.89,-21.65,P
empti ,-23.89,-21.65,P
fw csfb in,-4238.13,-4460.36,S
8th seal k,-8364.42,-9635.09,S
question s,-853.75,-886.53,S
6 389 sum ,-421.42,-462.12,S
5 talk med,-446.82,-389.31,P
littl tidb,-8268.0,-8622.43,S
revis copa,-354.21,-403.71,S
brand new ,-2585.8,-2445.63,P
nick hilli,-1113.29,-1170.61,S
thank take,-803.36,-821.38,S
hion wed 4,-1404.51,-1428.51,S
accord son,-952.35,-1021.49,S
qs syllabu,-338.75,-386.83,S
clarif whi,-1682.09,-1739.84,S
remov jere,-518.73,-546.55,S
sinc never,-263.53,-275.53,S
impress gi,-709.23,-637.7,P
order abaz,-294.17,-241.43,P
return mai,-409.63,-394.45,P
trade coun,-1152.73,-1268.37,S
rolex show,-853.71,-812.35,P
congratul ,-2112.03,-1984.1,P
septemb pr,-571.08,-662.61,S
request su,-374.72,-399.22,S
fuel per m,-1875.16,-2233.24,S
gurt 1995 ,-12628.91,-15057.71,S
forward vi,-687.35,-768.23,S
decid last,-3029.62,-3329.0,S
urgent upd,-590.18,-581.11,P
ah thi car,-242.02,-259.3,S
daili ft d,-509.81,-538.5,S
wed 2002 0,-2316.99,-2393.15,S
messag 200,-431.42,-472.72,S
wealth opp,-1970.72,-1800.85,P
welcom pjm,-680.64,-725.46,S
cornhusk c,-1462.82,-1512.74,S
polar bear,-502.07,-445.94,P
lone hous ,-224.37,-212.0,P
ha cum eve,-694.81,-620.4,P
john p loo,-991.08,-1043.18,S
accommod l,-174.12,-185.67,S
new new ne,-7187.56,-6911.16,P
wed 2 oct ,-1267.27,-1362.29,S
genet clas,-3830.59,-4265.3,S
start date,-286.58,-324.97,S
free x box,-48.7,-45.09,P
adob photo,-1223.55,-1055.13,P
attent hon,-3292.51,-3148.65,P
empti ,-23.89,-21.65,P
histori sy,-579.46,-649.84,S
central po,-1249.31,-1488.73,S
use perl d,-1645.25,-1800.75,S
fw meritoc,-1577.92,-1674.13,S
creativ po,-518.43,-433.43,P
perfect lo,-544.51,-453.91,P
shenandoah,-2198.77,-2646.32,S
final fina,-685.17,-769.59,S
breathtak ,-455.18,-394.46,P
invit whar,-1230.25,-1323.05,S
2005 docto,-1537.01,-1452.85,P
compani pl,-421.0,-455.77,S
ourr new g,-727.46,-634.94,P
real optio,-1582.67,-1768.8,S
home serv ,-425.38,-404.02,P
dear owner,-1174.07,-1172.3,P
paliourg g,-3168.74,-2522.53,P
super viag,-350.98,-304.0,P
nomin expr,-3883.23,-4522.48,S
hope like ,-1144.91,-982.42,P
free forei,-1020.24,-965.56,P
259 529 he,-568.25,-539.29,P
buy cheap ,-381.18,-332.29,P
karthik ra,-1997.63,-2328.86,S
local soft,-694.28,-627.21,P
name bryan,-195.94,-211.01,S
2000 year ,-671.94,-607.99,P
supersav p,-2497.8,-2250.31,P
enrononlin,-1835.67,-2011.41,S
empti ,-23.89,-21.65,P
pre crip t,-405.1,-341.36,P
good news ,-1146.05,-1203.85,S
igtt vol 6,-7727.27,-7333.47,P
use perl d,-1174.39,-1272.82,S
meet event,-1788.88,-1824.25,S
visual num,-3377.0,-3628.24,S
fwd dialog,-718.31,-689.78,P
answer thi,-2660.22,-2846.13,S
telephon i,-857.83,-970.86,S
spamassass,-3734.71,-3781.43,S
contrast g,-776.66,-884.0,S
personnel ,-6186.52,-5916.52,P
produc ser,-585.99,-683.34,S
protect fi,-880.7,-812.11,P
hottest ca,-42.55,-39.44,P
http www h,-707.25,-725.71,S
fu ck daug,-199.91,-189.12,P
workshop h,-400.62,-452.46,S
tp tim pet,-400.45,-426.0,S
empti ,-23.89,-21.65,P
swap monit,-964.66,-1017.48,S
thi messag,-790.7,-744.66,P
superior p,-334.14,-285.66,P
hello vinc,-3271.51,-3810.11,S
fw mike cu,-347.53,-384.62,S
low cost t,-641.09,-572.79,P
lab equip ,-432.42,-466.96,S
afford fam,-704.64,-682.27,P
u n v e r ,-595.35,-579.23,P
know compa,-1062.04,-952.87,P
guido ther,-266.68,-286.5,S
empti ,-23.89,-21.65,P
insead hig,-1665.08,-1831.59,S
best onlin,-293.3,-260.43,P
your sinse,-2236.09,-2120.87,P
price defa,-1566.03,-1730.01,S
word order,-412.54,-455.45,S
2 nd rev m,-1575.8,-1835.31,S
bitbitch m,-398.51,-409.21,S
offic star,-668.82,-684.82,S
best price,-2179.02,-1923.96,P
fw el paso,-317.94,-355.56,S
request su,-395.13,-419.14,S
op 12 09 2,-1248.07,-1258.18,S
solocdm wr,-660.58,-710.11,S
el paso so,-4084.34,-4230.53,S
url http w,-248.31,-261.8,S
wednesday ,-4628.62,-4918.2,S
forward ne,-1432.23,-1440.79,S
anarchist ,-1501.05,-1534.48,S
adv adob s,-1491.83,-1392.12,P
account 23,-370.94,-342.46,P
tue 27 aug,-726.37,-751.23,S
learn fast,-139.47,-127.12,P
ga messag ,-4695.67,-5887.07,S
redupl chi,-1542.75,-1799.0,S
free steal,-5891.88,-5690.12,P
act reach ,-1283.14,-1234.25,P
wast money,-1003.04,-977.96,P
workshop h,-1006.31,-1095.19,S
lost cell ,-1172.07,-1323.72,S
ilug pleas,-2761.08,-2634.87,P
harlan fei,-723.07,-793.92,S
repli shi ,-82.25,-76.26,P
help desig,-348.92,-401.88,S
communion ,-3521.38,-3210.81,P
guest fina,-475.3,-516.97,S
6 185 ipa ,-217.39,-235.02,S
invit spea,-1031.89,-1127.79,S
money get ,-173.72,-168.74,P
settlement,-183.02,-189.58,S
truer word,-1381.26,-1422.45,S
bad credit,-228.64,-214.54,P
start date,-782.12,-886.85,S
fw candl l,-2977.99,-3018.93,S
20 asian g,-285.31,-272.72,P
best onlin,-313.13,-283.57,P
accept cre,-1702.63,-1612.43,P
congratul ,-105.79,-106.81,S
debt 4 000,-661.95,-628.56,P
confirmden,-2991.27,-2840.08,P
regard ano,-808.58,-832.41,S
revis 2 en,-442.48,-538.26,S
mon 9 sep ,-329.73,-344.97,S
utf 8 q co,-504.98,-445.45,P
industri r,-2162.93,-2505.73,S
organ anno,-2397.6,-2553.86,S
earn 20 ti,-1068.6,-1029.86,P
jess keat ,-722.94,-796.13,S
research s,-1920.78,-2204.5,S
energi op ,-320.62,-330.35,S
use async ,-1090.92,-1151.64,S
ye think o,-402.03,-423.9,S
tim prefer,-2110.91,-2205.29,S
big pig si,-1884.54,-2163.11,S
dispatch w,-1241.1,-1323.88,S
kevin wrot,-938.14,-977.72,S
â â â â be,-1089.0,-952.39,P
whatcha ca,-765.17,-785.69,S
get money ,-3338.21,-3210.45,P
enpow pers,-6032.96,-6517.4,S
mother nat,-417.22,-382.74,P
link text ,-2995.81,-2726.52,P
better bal,-695.2,-674.62,P
today toda,-2442.51,-2335.15,P
hot penni ,-7259.32,-6399.67,P
fast act v,-469.25,-413.14,P
updat reim,-1503.34,-1538.69,S
investig a,-4159.74,-4032.74,P
r robert h,-582.46,-614.23,S
ucla lab s,-895.26,-839.87,P
rotat lean,-369.63,-391.36,S
call book ,-1555.81,-1726.14,S
pick razor,-564.45,-583.85,S
todd hall ,-540.25,-566.02,S
jill chatt,-247.46,-253.87,S
script goo,-392.32,-365.94,P
cheney dur,-2919.69,-3007.6,S
8th intern,-1083.7,-1299.31,S
origin mes,-378.76,-398.46,S
1 16 0400 ,-735.02,-769.44,S
url http w,-263.14,-277.44,S
cal berkel,-2863.01,-3021.75,S
eugen leit,-256.03,-262.65,S
win one ch,-1001.85,-967.07,P
fax direct,-3334.13,-3165.16,P
get high l,-734.95,-655.36,P
saturday s,-1183.45,-1197.62,S
job tesol ,-906.33,-1022.65,S
isa pnp ca,-868.2,-886.0,S
better deg,-1950.88,-1811.66,P
empti ,-23.89,-21.65,P
one bizarr,-6208.1,-6389.89,S
lose weigh,-983.15,-918.16,P
enron onsi,-878.23,-923.49,S
pari hilto,-467.2,-439.66,P
tue 2002 0,-871.51,-916.31,S
new book t,-5274.23,-5871.35,S
question w,-2256.06,-2468.65,S
tuesday de,-68.94,-73.73,S
inform cha,-824.93,-771.47,P
associ ana,-1180.39,-1297.6,S
hello hot ,-599.14,-552.48,P
pay good 9,-1048.46,-1071.08,S
fri 2002 0,-746.47,-773.28,S
astound re,-515.23,-489.14,P
ee citi at,-141.19,-152.0,S
iso compli,-2764.06,-2968.97,S
url http b,-976.47,-1010.86,S
ashfield o,-963.4,-946.0,P
macintosh ,-2418.19,-2555.69,S
prc contin,-363.6,-400.14,S
back wall ,-866.79,-810.35,P
ambllen al,-1358.17,-1312.01,P
fw capit b,-496.12,-548.27,S
url http d,-463.18,-490.07,S
pend appro,-2329.56,-2648.48,S
job c lisp,-1966.24,-2189.44,S
welcom via,-725.36,-649.4,P
learn styl,-968.63,-1040.13,S
london vis,-248.16,-253.55,S
ahhhh dave,-893.17,-914.62,S
origin mes,-1030.49,-1030.95,S
lst class ,-591.67,-548.62,P
function s,-2808.91,-3205.92,S
utmost con,-2141.27,-2052.93,P
sorri meet,-2889.1,-2707.25,P
govt reg a,-204.63,-220.26,S
fri 2002 0,-1034.16,-1142.85,S
entex tran,-2547.59,-2836.8,S
greater ho,-2471.74,-2636.3,S
begin pgp ,-1891.04,-1960.28,S
jone news ,-4797.13,-5169.93,S
empti ,-23.89,-21.65,P
fwd v codi,-938.69,-816.24,P
aaa 96 ann,-1408.22,-1506.25,S
attent hom,-900.66,-833.75,P
cinergi cl,-423.2,-468.75,S
correct 4 ,-527.99,-571.59,S
med pill p,-1584.37,-1436.27,P
akamai kev,-288.28,-302.22,S
new power ,-1564.6,-1562.7,P
hello fork,-393.02,-411.72,S
network en,-917.71,-982.32,S
account 88,-405.12,-388.38,P
summari ad,-4858.11,-5187.48,S
lanc lanc ,-760.32,-842.72,S
utf 8 q sc,-301.26,-276.63,P
like 250 g,-167.09,-159.04,P
book histo,-1740.8,-2050.5,S
new book c,-2774.41,-3337.59,S
sun jul 21,-1383.15,-1409.6,S
queri dear,-3062.54,-3385.71,S
fw real es,-2379.25,-2438.0,S
conf ind a,-9011.65,-9625.0,S
microcap j,-5103.52,-4738.44,P
wrong vm l,-1769.79,-1849.52,S
profession,-428.63,-376.11,P
fw absenc ,-2008.46,-2182.73,S
xm new sys,-1314.96,-1309.07,P
bare age r,-64.03,-57.92,P
job japan ,-1518.69,-1685.65,S
uh guy see,-548.53,-584.77,S
80 medicca,-329.38,-285.76,P
get busi i,-6199.54,-5947.55,P
mail deliv,-1818.06,-1678.51,P
congratul ,-600.09,-538.28,P
clickpap c,-1456.83,-1518.81,S
shop hundr,-754.56,-614.45,P
ilug socia,-2694.23,-2579.05,P
approv res,-1266.13,-1397.99,S
free web s,-13589.36,-13224.91,P
revis fort,-159.54,-177.35,S
cera confe,-1550.35,-1660.19,S
mon 19 aug,-484.41,-510.46,S
dear homeo,-637.06,-588.82,P
e eugen le,-1135.24,-1179.12,S
panenergi ,-1069.85,-1178.58,S
inform apt,-207.93,-229.9,S
enron mana,-1711.49,-1845.26,S
found win2,-1416.4,-1510.94,S
aig highst,-543.71,-601.74,S
fw screen ,-442.75,-472.36,S
personnel ,-243.17,-252.4,S
look thi r,-1201.28,-1155.31,P
pleas gran,-277.25,-273.48,P
wholesal c,-380.64,-354.67,P
paul winne,-1248.73,-1133.99,P
coswl surv,-1090.06,-1231.66,S
new seri s,-1897.03,-2212.73,S
wa server ,-1778.14,-1869.57,S
buyback de,-524.12,-570.41,S
meter 0980,-160.88,-165.85,S
zimbabw ha,-603.9,-613.7,S
found mist,-288.22,-317.51,S
09 02 9 29,-543.43,-564.36,S
registr we,-1437.09,-1379.77,P
logitech b,-1933.24,-1721.57,P
fw ecoelec,-985.79,-1067.01,S
natur lang,-6404.2,-7094.25,S
correspond,-524.93,-520.64,P
8 1208 sum,-2572.11,-2851.52,S
fw enron m,-21839.17,-22864.55,S
enron euro,-505.74,-554.03,S
sun 29 sep,-1024.16,-1112.93,S
1 4 extra ,-915.99,-887.48,P
fix bad cr,-195.67,-179.95,P
empti ,-23.89,-21.65,P
integr mee,-1398.62,-1540.51,S
mail deliv,-1910.58,-1786.7,P
chomski ci,-351.8,-388.82,S
greg case ,-905.94,-956.68,S
email hosp,-1412.73,-1334.13,P
stock move,-477.42,-470.55,P
sat 27 jul,-444.99,-451.85,S
milfhunt h,-438.18,-369.73,P
think thi ,-2948.15,-3072.46,S
aztec popu,-370.32,-392.44,S
chheep med,-704.92,-614.53,P
condom suc,-656.36,-614.27,P
semit synt,-1833.87,-2194.87,S
empti ,-23.89,-21.65,P
mon 2002 1,-1451.1,-1507.62,S
focu group,-681.39,-743.33,S
indulg dea,-2043.26,-1891.62,P
xth confer,-2740.85,-3098.44,S
begin forw,-3287.05,-3443.04,S
guy look h,-1059.43,-1109.39,S
summari la,-2351.5,-2507.26,S
url http w,-539.81,-546.47,S
fw md prc ,-922.82,-1041.9,S
residu val,-385.54,-406.65,S
begin pgp ,-1130.61,-1172.97,S
texmex ris,-123.92,-130.62,S
usb charse,-2446.58,-2226.79,P
open felix,-850.76,-750.59,P
mtbe plant,-324.9,-334.43,S
recent sur,-439.77,-403.87,P
monday aug,-1727.55,-1796.31,S
sum risk c,-4851.3,-5194.46,S
helsinki r,-1396.16,-1582.37,S
struggl ms,-1038.79,-1000.62,P
big unit w,-951.48,-908.26,P
meter 9863,-194.25,-205.85,S
michael wr,-1544.0,-1603.07,S
fellowship,-350.36,-412.41,S
propos pro,-797.25,-849.29,S
compar syn,-1626.08,-1883.88,S
alp presen,-2659.65,-3214.26,S
mon 22 jul,-968.53,-1051.68,S
logo stati,-1057.26,-963.58,P
buyback de,-928.05,-1077.5,S
enron with,-343.92,-361.16,S
bad credit,-398.08,-380.53,P
get micros,-2239.3,-1987.38,P
idea thi a,-4901.45,-4959.59,S
portugues ,-1119.87,-1334.24,S
url http w,-252.6,-265.85,S
associ ana,-3377.47,-4223.07,S
italian cr,-654.97,-579.08,P
found scho,-29.62,-30.32,S
request he,-491.77,-521.68,S
interest 8,-908.95,-790.76,P
empti ,-23.89,-21.65,P
pay much h,-919.24,-863.02,P
expect loo,-250.04,-253.05,S
new multid,-657.08,-706.33,S
low prce m,-896.53,-842.29,P
iso 8859 1,-1008.35,-947.96,P
draft pres,-288.12,-313.78,S
onlin phar,-234.08,-214.81,P
lowest rat,-415.77,-371.78,P
grade pam ,-255.87,-275.16,S
empti ,-23.89,-21.65,P
meter 9841,-2504.84,-2856.51,S
headcount ,-286.2,-295.88,S
make unlim,-760.25,-740.31,P
wa spring ,-7603.13,-7276.72,P
mobil scan,-2397.33,-2331.75,P
hpl nomin ,-511.78,-563.66,S
languag re,-814.74,-891.48,S
digest thu,-14397.31,-14836.11,S
neon discu,-243.14,-250.1,S
wish knew ,-56.88,-55.02,P
meet duke ,-420.6,-467.68,S
wed 28 aug,-653.42,-674.37,S
esourc pre,-993.58,-1049.02,S
ebay accou,-1455.88,-1364.09,P
summer sch,-342.03,-385.15,S
empti ,-23.89,-21.65,P
cheap onli,-477.55,-418.44,P
url http w,-206.6,-211.13,S
wire week ,-909.03,-991.24,S
recommend ,-1097.16,-1232.27,S
send real ,-751.42,-745.06,P
new york e,-1352.88,-1427.5,S
organiz ch,-3022.33,-3348.57,S
money avai,-584.24,-539.61,P
john p loo,-1038.08,-1130.32,S
newslett c,-20104.33,-18603.51,P
fyi umich ,-1003.31,-1133.97,S
costco dim,-1313.37,-1218.26,P
perfect lo,-553.32,-463.33,P
ad pop rea,-3397.9,-2937.11,P
linguist d,-689.05,-772.06,S
sum word p,-8135.12,-8482.29,S
request vi,-1021.44,-1100.9,S
weekli dea,-208.97,-232.21,S
contact co,-1685.13,-1780.93,S
investor c,-5251.72,-4900.55,P
support ex,-1118.73,-1279.19,S
8 43 pm 07,-1021.26,-1069.75,S
think keep,-795.78,-812.03,S
best softw,-395.66,-387.93,P
isidro bli,-530.24,-488.61,P
luck becau,-1098.89,-1120.22,S
mon 26 aug,-407.07,-421.33,S
fw cgt pop,-479.76,-535.31,S
l lui vill,-659.6,-696.09,S
afford hea,-418.28,-386.55,P
ten thousa,-451.36,-415.39,P
